title,rating
Dave Attell: Road Work,7.6
Dave Chappelle,8.7
Dave Chappelle: 8:46,8.1
Dave Chappelle: Equanimity,8.2
Dave Chappelle: Sticks & Stones,8.5
Dave Chappelle: The Bird Revelation,7.9
Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor,7.4
David A. Arnold Fat Ballerina,7.4
David Batra: Elefanten i Rummet,5.8
David Brent: Life on the Road,6.3
David Cross: Making America Great Again,6.4
David Tutera's CELEBrations,6.5
Dawg Fight,6.3
Dawn of the Croods,7.4
Day of the Dead: Bloodline,3.4
Daybreak,7.1
Dayveon,6.4
De Film van Dylan Haegens,4.3
De Held,5.0
De Reünie,5.5
De brief voor de koning,5.8
De verbouwing,6.0
DeMarcus Family Rules,6.0
DeRay Davis: How to Act Black,6.1
Dead & Nowhere,2.7
Dead Kids,5.6
Dead Poets Society,8.1
Dead to Me,8.2
Deadly Runway,4.6
Deadly Switch,4.5
Deadman Wonderland,7.2
Deadwind,7.2
Dealer,6.4
Dealin' with Idiots,5.5
Dear Ex,7.3
Dear Mr. Watterson,6.4
Dear My Friends,8.3
Dear Nathan,7.0
Dear White People,6.3
Death Clique,5.5
Death Note,6.8
Death Warrant,5.7
Death and Cremation,5.8
Death by Magic,6.0
Decoding Deepak,5.5
Deep in the Heart of Texas: Dave Chappelle Live at Austin City Limits,8.0
Deepwater Horizon,7.1
Def Comedy Jam 25,6.6
Defcon 2012,1.7
Defendant,8.2
Degrassi: Next Class,6.9
Deidra & Laney Rob a Train,6.1
Delete,5.6
Delhi Crime,8.5
Delirium,4.5
Deliver Us from Evil,6.2
Delivery,6.0
Demetri Martin: Live (At the Time),7.4
Demetri Martin: The Overthinker,7.2
Demon Inside,4.8
Demon Slayer: Kimetsu No Yaiba,8.7
Demoted,5.4
Deon Cole: Cole Hearted,6.9
Der Wixxer,6.2
Derek,8.1
Derren Brown: Apocalypse,7.9
Derren Brown: Infamous,7.5
Derren Brown: Miracle,6.6
Derren Brown: Pushed to the Edge,7.5
Derren Brown: Sacrifice,7.1
Derren Brown: The Great Art Robbery,7.6
Derry Girls,8.2
Descendants of the Sun,8.4
Designated Survivor,7.5
Designated Survivor: 60 Days,8.1
Desperados,5.2
Despicable Me 2,7.3
Despite Everything,5.3
Destruction Los Angeles,4.4
Destry,6.7
Deuces,5.9
"Devil's Backbone, Texas",4.1
Devil's Bride,6.0
Devilish Charm,3.4
Devilman: Crybaby,7.6
Devils Line,6.8
Devotion to Cinema,5.7
Dexter,8.6
Diablero,7.2
Diagnosis,7.8
Diary of a Night Watchman,6.7
Dick Johnson Is Dead,7.2
Die Goldene Kamera 2017,9.3
Die Präsenz,4.0
Dieter Nuhr: Nuhr in Berlin,4.8
Dig Two Graves,5.7
Digimon Adventure,7.6
Dik Trom,6.1
Dilwale,5.2
Dino Girl Gauko,7.0
Dinotrux,7.0
Dinotrux Supercharged,7.1
Dirilis: Ertugrul,7.8
Dirk Gently's Holistic Detective Agency,8.3
Dirty Grandpa,5.9
Dirty John,7.2
Dirty Money,7.8
Dirty Teacher,4.7
Disciples of the 36th Chamber,6.5
Disenchantment,7.4
Disjointed,7.3
Divines,7.4
Diário de um Exorcista - Zero,3.7
Doble Kara,8.6
Doc Martin,8.3
Doctor Prisoner,7.7
Doctor Who,7.7
Doctor X,7.6
Dogs,8.1
Dogs of Berlin,7.5
Dolemite Is My Name,7.3
Dollar,6.7
Dolly Parton's Heartstrings,7.9
Dolphin Kick,4.4
Don Quijote de la Láctea,8.0
Don't F**k with Cats: Hunting an Internet Killer,8.3
Don't Trust the B---- in Apartment 23,7.3
